id,created_time,creator_id,modified_time,modifier_id,is_deleted,name,group,path,is_exist,order_num,file_type,ext,status,searchable,filterable,quickSearch,active
440,2024-06-17 16:35:37.397274,1,2024-06-20 02:37:49.601573,1,0,维奇动漫[漫],t4/files/drpy_js,t4/files/drpy_js/维奇动漫[漫].js,True,434,.js,,1,1,1,1,True
103,2024-03-10 11:22:54.489716,1,2024-06-20 02:37:51.527728,1,0,kkpans,t4/files/drpy3_js,t4/files/drpy3_js/kkpans.js,True,97,.js,,1,0,0,0,True
130,2024-03-29 09:09:21.206493,1,2024-06-20 02:37:51.007388,1,0,夜幕,t4/files/js_parse_api,t4/files/js_parse_api/夜幕.js,True,124,.js,,1,0,0,0,True
270,2024-05-15 06:21:15.433748,1,2024-06-20 02:37:49.441458,1,0,蛋蛋剧,t4/files/drpy_js,t4/files/drpy_js/蛋蛋剧.js,True,264,.js,,1,1,1,0,True
441,2024-06-17 16:35:37.502432,1,2024-06-20 02:37:49.731039,1,0,88看球[球],t4/files/drpy_js,t4/files/drpy_js/88看球[球].js,True,435,.js,,1,0,0,0,True
129,2024-03-29 09:09:21.199069,1,2024-06-20 02:37:51.034671,1,0,CK,t4/files/js_parse_api,t4/files/js_parse_api/CK.js,True,123,.js,,1,0,0,0,True
439,2024-06-17 16:35:37.289358,1,2024-06-20 02:37:49.468572,1,0,樱花动漫[漫],t4/files/drpy_js,t4/files/drpy_js/樱花动漫[漫].js,True,433,.js,,1,1,0,0,True
110,2024-03-10 11:22:54.522405,1,2024-06-20 02:37:51.200895,1,0,meow,t4/files/drpy3_js,t4/files/drpy3_js/meow.js,True,104,.js,,1,0,0,0,True
388,2024-06-11 10:05:03.303369,1,2024-06-20 02:37:49.475564,1,0,热片网,t4/files/drpy_js,t4/files/drpy_js/热片网.js,True,382,.js,,1,1,1,0,True
322,2024-05-25 15:45:01.962292,1,2024-06-20 02:37:50.400725,1,0,电影天堂,t4/files/drpy_js,t4/files/drpy_js/电影天堂.js,True,316,.js,,1,1,0,0,True
59,2024-02-04 14:21:09.832085,1,2024-06-20 02:37:50.847247,1,0,bili,t4/files/json,t4/files/json/bili.json,True,59,.json,,1,0,0,0,True
132,2024-03-29 09:09:21.213665,1,2024-06-20 02:37:51.000390,1,0,盘古,t4/files/js_parse_api,t4/files/js_parse_api/盘古.js,True,126,.js,,1,0,0,0,True
131,2024-03-29 09:09:21.210231,1,2024-06-20 02:37:51.016221,1,0,杰森,t4/files/js_parse_api,t4/files/js_parse_api/杰森.js,True,125,.js,,1,0,0,0,True
182,2024-05-06 13:29:00.072149,1,2024-06-20 02:37:50.834432,1,0,pikpakclass.json.db,t4/files/json,t4/files/json/pikpakclass.json.db.gz,True,176,.gz,,1,0,0,0,True
186,2024-05-06 13:29:00.117259,1,2024-06-20 02:37:50.875168,1,0,moli,t4/files/json,t4/files/json/moli.json,True,180,.json,,1,0,0,0,True
188,2024-05-06 13:29:00.130646,1,2024-06-20 02:37:50.889367,1,0,wgcf,t4/files/json,t4/files/json/wgcf.json,True,182,.json,,1,0,0,0,True
191,2024-05-06 13:29:00.223270,1,2024-06-20 02:37:50.978543,1,0,pg,t4/files/jar,t4/files/jar/pg.jar,True,185,.jar,,1,0,0,0,True
192,2024-05-06 13:29:00.323252,1,2024-06-20 02:37:51.095060,1,0,pako.min,t4/files/drpy3_libs,t4/files/drpy3_libs/pako.min.js,True,186,.js,,1,0,0,0,True
107,2024-03-10 11:22:54.508952,1,2024-06-20 02:37:51.298010,1,0,live2mv_data,t4/files/drpy3_js,t4/files/drpy3_js/live2mv_data.json,True,101,.json,,1,0,0,0,True
438,2024-06-17 16:35:37.283601,1,2024-06-20 02:37:49.461756,1,0,大米动漫[漫],t4/files/drpy_js,t4/files/drpy_js/大米动漫[漫].js,True,432,.js,,1,1,0,0,True
389,2024-06-11 10:05:03.445614,1,2024-06-20 02:37:49.575468,1,0,子子影视,t4/files/drpy_js,t4/files/drpy_js/子子影视.js,True,383,.js,,1,1,0,0,True
333,2024-05-28 10:11:14.082974,1,2024-06-20 02:37:49.656126,1,0,胖虎影视,t4/files/drpy_js,t4/files/drpy_js/胖虎影视.js,True,327,.js,,1,1,1,1,True
56,2024-02-02 16:38:12.276321,1,2024-06-20 02:37:49.773579,1,0,555影视[飞],t4/files/drpy_js,t4/files/drpy_js/555影视[飞].js,True,56,.js,,1,1,1,0,True
81,2024-03-08 15:53:21.075372,1,2024-06-20 02:37:51.540782,1,0,drpy3.min,t4/files/drpy3_libs,t4/files/drpy3_libs/drpy3.min.js,False,75,.js,,1,0,0,0,True
390,2024-06-11 10:05:04.084003,1,2024-06-20 02:37:50.293599,1,0,天启,t4/files/drpy_js,t4/files/drpy_js/天启.js,True,384,.js,,1,1,1,0,True
172,2024-05-06 13:28:59.919464,1,2024-06-20 02:37:50.649711,1,0,jsencrypt,t4/files/drpy_libs,t4/files/drpy_libs/jsencrypt.js,True,166,.js,,1,0,0,0,True
75,2024-02-19 18:15:01.925873,1,2024-06-20 02:37:50.735482,1,0,drpy_rules,t4/files/json,t4/files/json/drpy_rules.json,True,69,.json,,1,0,0,0,True
430,2024-06-17 16:35:36.951309,1,2024-06-20 02:37:49.031765,1,0,漫小肆[画],t4/files/drpy_js,t4/files/drpy_js/漫小肆[画].js,True,424,.js,,1,1,0,0,True
431,2024-06-17 16:35:36.977455,1,2024-06-20 02:37:49.065180,1,0,清风DJ[听],t4/files/drpy_js,t4/files/drpy_js/清风DJ[听].js,True,425,.js,,1,1,1,0,True
434,2024-06-17 16:35:37.061611,1,2024-06-20 02:37:49.182097,1,0,次元城动漫[漫],t4/files/drpy_js,t4/files/drpy_js/次元城动漫[漫].js,True,428,.js,,1,1,0,0,True
174,2024-05-06 13:28:59.990672,1,2024-06-20 02:37:50.751916,1,0,tokenm,t4/files/json,t4/files/json/tokenm.json,True,168,.json,,1,0,0,0,True
435,2024-06-17 16:35:37.200860,1,2024-06-20 02:37:49.358490,1,0,OmoFun[漫],t4/files/drpy_js,t4/files/drpy_js/OmoFun[漫].js,True,429,.js,,1,1,1,0,True
436,2024-06-17 16:35:37.235152,1,2024-06-20 02:37:49.398771,1,0,R18撸[密],t4/files/drpy_js,t4/files/drpy_js/R18撸[密].js,True,430,.js,,1,1,1,0,True
446,2024-06-17 16:35:37.585434,1,2024-06-20 02:37:49.829108,1,0,斗鱼直播[官],t4/files/drpy_js,t4/files/drpy_js/斗鱼直播[官].js,True,440,.js,,1,1,1,0,True
396,2024-06-12 10:09:52.379917,1,2024-06-20 02:37:49.971198,1,0,老司视频[密],t4/files/drpy_js,t4/files/drpy_js/老司视频[密].js,True,390,.js,,1,1,1,0,True
180,2024-05-06 13:29:00.057574,1,2024-06-20 02:37:50.812409,1,0,aliproxy,t4/files/json,t4/files/json/aliproxy.gz,True,174,.gz,,1,0,0,0,True
452,2024-06-17 16:35:37.783857,1,2024-06-20 02:37:50.026913,1,0,相声随身听[听],t4/files/drpy_js,t4/files/drpy_js/相声随身听[听].js,True,446,.js,,1,1,1,0,True
170,2024-05-06 13:28:59.904969,1,2024-06-20 02:37:50.634282,1,0,test_rsa,t4/files/drpy_libs,t4/files/drpy_libs/test_rsa.mjs,True,164,.mjs,,1,0,0,0,True
61,2024-02-04 14:21:09.836048,1,2024-06-20 02:37:50.781594,1,0,live2mv_data,t4/files/json,t4/files/json/live2mv_data.json,True,61,.json,,1,0,0,0,True
153,2024-05-06 13:28:59.614970,1,2024-06-20 02:37:49.709134,1,0,白嫖者联盟,t4/files/drpy_js,t4/files/drpy_js/白嫖者联盟.js,True,147,.js,,1,1,0,0,True
442,2024-06-17 16:35:37.508464,1,2024-06-20 02:37:49.739096,1,0,云盘资源网[盘],t4/files/drpy_js,t4/files/drpy_js/云盘资源网[盘].js,True,436,.js,,1,1,1,1,True
444,2024-06-17 16:35:37.520877,1,2024-06-20 02:37:49.753288,1,0,虎牙直播[官],t4/files/drpy_js,t4/files/drpy_js/虎牙直播[官].js,True,438,.js,,1,1,1,0,True
415,2024-06-15 06:37:46.151277,1,2024-06-20 02:37:49.759914,1,0,黑狐影院,t4/files/drpy_js,t4/files/drpy_js/黑狐影院.js,True,409,.js,,1,1,0,0,True
445,2024-06-17 16:35:37.532546,1,2024-06-20 02:37:49.766178,1,0,动漫网[漫],t4/files/drpy_js,t4/files/drpy_js/动漫网[漫].js,True,439,.js,,1,1,0,0,True
447,2024-06-17 16:35:37.654708,1,2024-06-20 02:37:49.905182,1,0,恒大影视[密],t4/files/drpy_js,t4/files/drpy_js/恒大影视[密].js,True,441,.js,,1,1,1,0,True
